,单位：亿美元,2G北美规模,3G北美规模,4G北美规模,5G北美规模,北美整体规模,2G EMEA规模,3G EMEA规模,4G EMEA规模,5G EMEA规模,EMEA整体规模,2G亚太规模,3G亚太规模,4G亚太规模,5G亚太规模,亚太整体规模,2G CALA规模,3G CALA规模,4G CALA规模,5G CALA规模,CALA整体规模
31,Q406,19.15,1.22,0,0,20.36,36.84,13.32,0,0,50.16,28.24,7.19,0,0,35.43,7.81,0,0,0,7.81
32,Q107,19,1.54,0,0,20.54,27.86,9.14,0,0,36.99,25.42,6.76,0,0,32.18,5.37,0.05,0,0,5.41
33,Q207,17.56,1.42,0,0,18.98,23.83,11.62,0,0,35.45,32.01,7,0,0,39.01,4.67,0.7,0,0,5.37
34,Q307,19.79,1.13,0,0,20.93,26.81,12.32,0,0,39.13,39.09,5.87,0,0,44.96,5.88,1.87,0,0,7.75
35,Q407,19.38,1.58,0,0,20.96,30.93,13.37,0,0,44.3,43.28,6.87,0,0,50.15,8.36,2.34,0,0,10.7
36,Q108,15.64,2.91,0,0,18.55,22.36,15.62,0,0,37.98,37.66,9.05,0,0,46.71,5.35,3.28,0,0,8.62
37,Q208,10.94,4.12,0,0,15.05,25.7,18.17,0,0,43.88,46.97,13.59,0,0,60.55,4.47,4.26,0,0,8.73
38,Q308,12.27,5.41,0,0,17.68,21.56,17.43,0,0,38.98,40.85,12.33,0,0,53.17,4.31,4.84,0,0,9.15
39,Q408,11.27,5.42,0,0,16.69,25.08,18.69,0,0,43.77,45.52,15.18,0,0,60.7,4.62,4.64,0,0,9.26
40,Q109,8.41,7,0,0,15.41,20.53,15.81,0,0,36.34,32.18,20.48,0,0,52.66,2.16,2.88,0,0,5.04
41,Q209,7.99,8.46,0,0,16.45,19.43,16.95,0,0,36.38,33.58,20.7,0,0,54.28,2.93,3.28,0,0,6.21
42,Q309,6.29,11.84,0,0,18.13,17.58,18.28,0,0,35.86,28.54,19.84,0,0,48.37,2.1,3.52,0,0,5.62
43,Q409,8.3,13.48,0,0,21.78,18.93,25.65,0,0,44.58,24.62,23.32,0,0,47.94,2.37,3.86,0,0,6.23
44,Q110,7.31,11.2,0,0,18.51,16.28,21.31,0,0,37.6,18.98,18.48,0,0,37.46,1.75,2.64,0,0,4.39
45,Q210,8.43,14.36,0,0,22.79,16.07,21.98,0,0,38.04,15.86,17.73,0,0,33.59,2.13,4.43,0,0,6.56
46,Q310,8.82,12.75,0,0,21.57,13.41,21.03,0,0,34.44,18.54,19.45,0,0,37.99,2.07,4.81,0,0,6.88
47,Q410,9.71,17.52,3.06,0,30.28,17.23,27.29,1.4,0,45.92,27.27,31.25,0.8,0,59.32,2.57,7.22,0,0,9.79
48,Q111,13.09,11.91,2.7,0,27.7,14.37,21.72,1.43,0,37.52,23.83,23.86,0.76,0,48.45,2.12,5.49,0,0,7.61
49,Q211,12.89,13.26,2.56,0,28.71,14.81,24.19,1.35,0,40.35,24.39,29.31,1,0,54.7,1.98,6.63,0,0,8.61
