MTH_TEL_BILL,als_m3_id_nbank_tot_mons,als_m12_id_bank_tot_mons,RACE,SINGE_DATE,BIRTHDAY,m1_num,als_lst_id_bank_inteday,als_lst_id_nbank_consnum,m6_num,als_m6_id_nbank_tot_mons,d15_num,TOTAL_PRICE,m6_day,LOAN_AMT,APROV_DURATION,DOWN_PAY,als_fst_id_nbank_inteday,als_m3_id_tot_mons,m12_num,als_m12_id_tot_mons,m12_day,FIRST_REPAY,als_fst_id_bank_inteday,als_m6_id_tot_mons,FLX_PACKAGE,m3_day,m3_num,MONTH_RATE,REPAY_DAY,als_m12_id_nbank_tot_mons,als_lst_id_bank_consnum,MTH_REPAY_AMT,als_m6_id_bank_tot_mons,d7_num,y
1,1,0,0,2,40,10,0,1,14,1,10,3234,712,2934,1.18,300,1,1,14,1,1428,314,0,1,0.23,352,14,1.03,10,1,0,314,0,10,0
1,1,2,0,3,31,8,56,1,26,1,8,1829,157,1529,1,300,1,2,26,3,157,138,90,3,0.5,110,20,1.09,28,1,1,138,2,8,0
1,1,0,1,4,46,8,0,1,12,1,8,1529,712,1529,1.02,0,1,1,12,1,1428,138,0,1,0.5,352,12,1.09,8,1,0,138,0,8,0
0,1,1,0,3,41,10,316,1,14,1,10,2093,712,2083,0.72,10,301,1,35.5,2,915,188,316,1,0.5,352,14,1.09,10,2,1,188,0,10,1
1,1,0,0,2,21,8,0,1,12,1,8,4376,712,4376,0.98,0,1,1,12,1,1428,273,0,1,1.05,352,12,1.67,5,1,0,273,0,8,0
0,1,0,0,2,34,10,0,1,14,1,10,4600,712,4600,0.5,0,1,1,14,1,1428,287,0,1,0.72,352,14,1.98,3,1,0,287,0,10,0
1,1,0,0,2,22,18,0,1,26,1,18,6376,4,4376,1.53,2000,341,1,45.34,3,650,273,0,1,1.05,4,26,1.67,10,3,0,273,0,18,0
1,1,0,0,2,39,8,0,1,12,1,8,5790,712,5290,1.23,500,1,1,12,1,1428,330,0,1,0.72,352,12,1.98,12,1,0,330,0,8,0
0,1,0,0,1,21,8,0,1,12,1,8,9811,712,7811,0.8,2000,1,1,12,1,1428,705,0,1,0.65,352,12,1.67,14,1,0,705,0,8,0
1,1,0,0,2,50,8,0,1,12,1,8,1529,712,1529,0.78,0,1,1,12,1,1428,138,0,1,0.65,352,12,1.67,7,1,0,138,0,8,0
1,1,1,0,2,24,8,247,1,12,1,8,9098,712,7598,1.02,1500,1,1,22,2,492,474,247,1,1.05,352,12,1.67,12,1,1,474,0,8,0
1,3,1,0,2,32,8,48,1,64.25,4,8,5832,116,4832,0.95,1000,322,3,72,5,394,571,48,4,0.67,96,50,1.67,12,5,1,571,1,8,0
1,0,0,0,2,19,0,0,0,0,0,0,3757,712,3757,1.18,0,0,0,0,0,1428,444,0,0,0.67,352,0,1.67,6,0,0,444,0,0,0
1,1,0,0,2,34,8,0,1,12,1,8,2897,712,2897,0.65,0,1,1,12,1,1428,310,0,1,0.23,352,12,1.03,2,1,0,310,0,8,0
0,1,0,0,3,48,10,0,1,14,1,10,3724,712,3224,0.75,500,1,1,14,1,1428,345,0,1,0.23,352,14,1.03,4,1,0,345,0,10,0
1,1,0,0,3,41,8,0,1,12,1,8,8909,712,6909,0.78,2000,1,1,12,1,1428,431,0,1,1.05,352,12,1.67,8,1,0,431,0,8,0
0,0,0,0,2,40,0,0,0,0,0,0,5070,712,4070,0.7,1000,0,0,0,0,1428,481,0,0,0.38,352,0,1.03,11,0,0,481,0,0,0
1,2,0,0,2,20,16,0,1,75,5,8,3757,146,3757,9.6,0,162,2,75,5,146,444,0,5,0.67,162,33,1.67,14,5,0,444,0,8,0
1,1,0,1,2,21,10,0,1,14,1,10,4232,712,4232,1.1,0,1,1,14,1,1428,264,0,1,1.05,352,14,1.67,10,1,0,264,0,10,0
0,2,2,0,2,34,32,118,1,66.25,2,32,4883,140,4003,13.23,880,225,2,69.6,5,260,473,123,4,0.67,130,53,1.67,12,3,1,473,2,24,0
0,2,0,0,2,22,16,0,2,44.5,4,16,5587,128,4587,1.1,1000,287,2,56.8,5,310,542,0,4,0.67,128,31,1.67,1,5,0,542,0,16,0
0,2,0,0,2,20,8,0,1,68.66,3,8,2165,108,2005,11.95,160,244,2,76,4,268,181,0,3,0.65,108,46,1.67,5,4,0,181,0,8,0
1,1,0,0,3,25,8,0,1,35,2,8,3412,344,3112,1.25,300,343,1,65.5,4,316,333,0,2,0.23,352,12,1.03,1,4,0,333,0,8,1
1,1,0,0,3,32,16,0,1,31,2,16,2265,294,2065,0.8,200,148,1,31,2,294,244,0,2,0.67,4,24,1.67,2,2,0,244,0,16,0
1,1,0,0,2,26,10,0,1,14,1,10,1777,712,1777,0.45,0,1,1,14,1,1428,210,0,1,0.67,352,14,1.67,4,1,0,210,0,10,0
1,1,0,0,3,22,8,0,1,12,1,8,3439,712,3439,7.67,0,1,1,12,1,1428,368,0,1,0.23,352,12,1.03,12,1,0,368,0,8,0
1,1,0,0,2,20,16,0,2,24,1,16,5100,712,4600,0.55,500,1,1,24,1,1428,287,0,1,0.72,352,24,1.98,28,1,0,287,0,16,0
0,2,2,0,2,39,8,118,1,28,2,8,5463,183,4163,1.17,1300,301,2,59.17,6,620,492,294,3,0.38,132,20,1.03,13,5,1,492,1,8,0
